id;text
ID002;"Добрый день, Мирослава. Этот шаг способен будет компенсировать часть предстоящих затрат, связанных с проектом по ""очеловечиванию"" коботов. Убедитесь, что компания соблюдет все социальные гарантии, а также привлеките к вопросу HR для возможного трудоустройства сотрудников в другие компании группы."
ID002;-
ID002;Поскольку мы планируем, что длительность обучения наших сотрудников возрастет до 40 часов в год, очевидно, что образовательные программы не имеют права быть скучными. Предлагаю обратиться к опыту коллег из Trip+, которые с помощью VR организовывают полноценный 7-дневный отдых за 1 час в реальной жизни. Также считаю целесообразным привлечь в качестве спикеров наших партнеров. Вопрос по бюджету будем решать, когда проработаете изменение концепции обучения. Считаю, что месяца Вам будет достаточно для подготовки предложений.
ID002;Благодарю
ID002;Добрый день, Михаил. Спасибо, что подняли эту важную тему. действительно, узнаваемость нашего бренда составляет 46-51% в зависимости от региона присутствия, при этом лучшие практики показывают узнаваемость выше 80%. Прежде, чем принимать финальное решение я бы дождался возвращения Максима Полякова с комитета по рассмотрению законодательных инициатив для того, чтобы учесть все возможные риски. Также считаю необходимым провести традиционные фокус-группы и сессии дизайн-мышления с нашими клиентами. 
ID002;-
ID002; Добрый день. В рамках привлечения внешнего консультанта ключевыми направлениями для проработки я бы взял следующие проблемы: низкая узнаваемость бренда Высокий уровень текучести и низкий ENPS Детекция внутреннего мошенничества и фрода (например, выявленный Виолеттой Римовой в CobotBusiness). В зрелых внутренних процессах и счастливых сотрудниках наш успех
ID002;-
ID002;Добрый день, Родион. Учитывая, что 30% своего рабочего времени Вы находитесь в Индии, я не готов согласовать дополнительное отвлечение на 10 часов в неделю. Безусловно, Вы можете поддержать проект и поучаствовать в нем на общественных началах.
ID002;Добрый день, Роберт. Благодарю Вас за теплые слова. Сделаю все, чтобы оправдать доверие.
ID002;Добрый день, Нелли. Позволю себе обратить Ваше внимание, что формат Вашего запроса не соотносится с той обратной связью, которую вы от меня сегодня получили. Прошу переработать и выслать повторно с указанием плюсов и минусов, а также конкретными предложениями.
ID002;Добрый день, Милена, Максим. Ознакомился с релизом и вынужден просить о его переносе в связи с новостями о падении 3-годовалого ребенка из окна. Нам сейчас крайне важно провести объективное внутреннее расследование и установить все обстоятельства трагического происшествия. До этого момента публиковать релизы в отношении коботов-нянь не считаю возможным. Надеюсь на понимание.
ID002;"Спасибо, Евгения. К Казанскому техно-форуму, а также молодежному форуму планирую подключаться дистанционно, просьба заранее уточнить техническую возможность VR-трансляции. Что касается ""Control under control"" - туда предлагаю отправить наших руководителей высшего звена, которые менее 2 лет в должности. Насчет дополнительных встреч - по линии маркетинга должны были организовать пресс-конференцию, просьба уточнить дату и время."
ID003;-
ID003;Добрый.  Напишите Андрею Кравцову, что мы обязательно рассмотрим его предложение до конца текущей недели.
ID003;Герасим, добрый день. Для встречи необходима доп информация: Суммарный объем инвестиций для двух компаний составит 10 млрд. долларов. По предварительным расчетам, это позволит нам сократить расходы на логистику в Индии на 30 % уже через 1,5 года после старта работ.  Сколько в денежном выражении? Cobots планирует внести в проект до 70 % суммарного объема инвестиций и получить соответствующую долю владения логистической компанией и складскими помещениями. FoxINN согласна с инвестиционным решением, но при этом хочет занять 40 % логистических помещений, так как будет контролировать организацию строительства и привлечение трудовых ресурсов. А мы хотим поделить складские помещения соразмерно инвестициям.  Есть ли возможность двигаться по % или у нас жесткая позиция? Мы не успели обсудить с FoxINN Состав Совета директоров логистической компании. Планируется, что согласно инвестиционным вложениям в Совет Директоров должно войти большинство от нашей компании.  Какое количество членов в Совете?  Информация нужна срочно!
ID003;"Добрый день.  Ответственным будет ИТ-директор Майк Келлер - это его зона ответственности  Для стабильной обработки запросов от такого количества клиентов, мгновенного осуществления онлайн-расчетов и быстрого предоставления обратной связи я предлагаю:  ·      разработать бета-версию рабочей среды по автоматическому сбору данных;   ·      переобучить нейронную сеть на данных последнего полугодия."
ID003;Готов на собеседование с Александром Кнаусом, так как он в настоящее время активно развивает нашего прямого конкурента. Второго кандидата предлагаю рассмотреть при условии, если Кнаус не подойдет.
ID003;Добрый день, большое спасибо за хорошую идею. прежде, чем стартовать, прошу предоставить бюджетную составляющую.
ID003;Добрый день.  Думаю, что наиболее оптимальный вариант для старта - штат Виктория, большое количество населения, доход 928 долларов, стоимость аренды гораздо ниже чем в Южном Новом Уэльсе. Достаточно большое количество детей и пенсионеров. Штат Виктория - это оптимальный вариант для старта.
ID003;Добрый день.  1. Необходимо уточнить у каждого кандидата - хотят они или нет, а также могут ли они обучаться в заявленные даты.  2. Также прошу направить достижения каждого из кандидатов за последние 2 года.
ID003;Добрый. Хорошая инициатива. Считаю, что выборка из 200 человек - недостаточная. Предлагаю увеличить количество респондентов, а также просчитать более подробно доходную и расходную часть истории. После этого можно будет принять решение.  
ID003;-
ID003;Добрый день, предлагаю на нашей стратегической встрече обсудить данную ситуацию.  Для обсуждения показателей прошу подготовить подробный отчет по продажам, а также причинам, которые привели к невыполнению показателей. 
ID003;-
ID003;Предложение следующее - выплатить компенсацию в досудебном порядке. Затем опубликовать данный случай в СМИ - чтобы в дальнейшем избежать подобных ситуаций со стороны наших пользователей и повысить лояльность к нашей компании. Также мы избежим репутационные риски.
ID003;-
ID003;-
ID003;Напишу завтра до конца дня.
ID003;-
ID003;Список - все руководители, заместители и по одному сотруднику от каждого подразделения, у меня получилось 83 человека. Добавьте еще на свое усмотрение
ID003;-
ID003;-
ID003;-
ID003;Дайте больше информации по данному вопросу - на сколько задержка, какие объемы и какие цифры в потерях, как по данной партии, так и по партнеру в целом
ID003;-
ID003;Очень хорошая иннициатива, поддержу! Сотрудники в хорошей физической форме принесут нашей компании гораздо больше пользы!
ID003;-
ID003;1. Использование коботов для очистки мирового океана. 2. Использование AI для отслеживания зон загрязнения на территории РФ 3. Обязательное использование коботов в сфере образования, начиная от начальной школы и до университетов. 4. Использование коботов-перевозчиков на общественном транспорте 5. Использование коботов для муниципалитетов (например, все работы, связанные с уборкой территорий). 6. Использование AI для контроля чистоты городских территорий. 7. Использование AI для борьбы против киберпреступников.
ID003;Подготовьте полную информацию - сколько конкретно человек в каждом регионе, сколько и мы потратим. Также необходима информация о перспективах данного проекта, желательно в цифрах (прибыль). Готов обсудить данный вопрос в пятницу в 15-00.
ID003;-
ID003;Вопрос по кадрам всегда довольно сложный - необходимо детальное обсуждение. Прошу подключить HR-партнера и назначить встречу для обсуждения на четверг, 10-00
ID003;-
ID003;-
ID003;Спасибо за информацию
ID003;Добрый день, Михаил. Большое спасибо, что уделили этому вопросу время. Меня также беспокоит узнаваемость нашего бренда (51%) по данным последних исследований. Необходимо двигаться в данном направлении. История с размещением лица кобота на бренде интересная, необходимо проработать юридическую составляющую. Готовьте предложения по макетам нового логотипа, проконсультируйтесь у юристов насчет размещения лица кобота и выносите данное предложение  на повестку дня.
ID003;Судя по характеристикам продукта вижу сложности - цена выше, функциональность такая же (в первом приближении). Необходимо проработать вопросы - какие параметры можно еще добавить в устройство, желательно уникальные, которые не может предоставить смарт-браслет. Также какие дополнительные аналитические возможности мы можем предложить? Планируемые последующие тренировки? Глубокий анализ текущих? Нужно расширять функционал. Исходя из этого будем разрабатывать маркетинговый план продаж. Прошу дать предложения по расширению функционала до конца следующей недели.
ID003;Проблемы: 1. Юнит CobotMobility - низкая прибыль, 0.77 млрд. Возможности рынка позволяют развивать данные сервисы, необходимо в первую очередь разобраться в основных  причинах и скорректировать работу. 2. Юнит CobotSpace - перспективное направление с большими возможностями. На текущий момент чистая прибыль отрицательная - необходимо рассмотреть возможные сценарии выхода на положительное значение, а также оценить возможности развития данного юнита в перспективе на ближайшие три года. Это два больших вопроса, которые необходимо рассматривать в приоритетном порядке.  Этапы реализации проекта прошу взять на себя.   Результатом должна стать стратегия увеличения прибыли по юнитам с различными вариантами сценариев.  Если появятся дополнительные вводные - обязательно сообщу.
ID003;-
ID003;-
ID003;-
ID003;-
ID003;В связи с известными трагическими событиями прошу приостановить выход данного релиза. Как только будет понимание ясности ситуации сразу направим в СМИ.
ID003;-
ID004;Никита, добрый день. Спасибо за доверие и ценную информацию о сотрудниках. Это важно для меня. Не подведу!
ID004;Элена, добрый день. Я поручил эту задачу Алексу. Спасибо. Обязательно обсудим ситуацию с Майком в эту пятницу. Время уточню позже. Хорошего дня
ID004;Нелли, подтверждаем информацию об участии во встрече. Мне необходим телефон Кравцова для звонка ему сегодня + дайте больше информации о нем и этом проекте. Возможные темы для выступлений. Сро к- сегодня 12-30
ID004;Добрый день, Герасим. Я проведу встречу. Но мне недостаточно информации: прошу представить к переговорам. Это важно для нас - обоснованние нашего варианта локации склада у границ с Китаем (есть ли у наших партнеров интерес в этом рынке?), Возможные перспективные проекты с этим партеров в ближайшие 2 года. Есть ли альтернативные инвесторы? Могут ли они профинансировать более 30%. Спасибо.
ID004;С Кнаусом завтра готов провести собеседование. По Вплерии дайте больше инфо т.к. она внутренний кандидат (КПЭ, проекты, мнение руководителя). С ней  - встреч в среду на совещании по стратегии ее бизнес - юнита. Посмотрим на нее в работе
ID004;Добрый день. Предлагаю Разместить в Виктории: из достаточно большого количества населения, средней конкуренции, наличия городов и на побережье и в глуби, низкой ставки аренды, женщин меньше чем мужчин – потребность в роботах бытовых значит больше. Анализ: Доход на душу населения везде сопоставим. Этот фактор не принимаем во внимание. Покупательная способность населения одинакова.  Южный Уэльс:  Плюсы: все крупнейшие города сосредоточены здесь на побережье. Население больше всего 15 млн. чел. Это огромный рынок для наших роботов Минусы: города прибрежные и в связи с повышением уровня мирового океана в последние годы – это может вызвать отток населения и проблемы с логистикой если мы создадим филиал именно там. Конкуренция самая высокая  Виктория: население также много – второй по предпочтительности штат 10,8 млн. Города основные также на побережье. Конкуренция средняя, самая низкая ставка аренды.  Квинсленд: меньше всего населения – 6,4 млн. Конкуренция слабая. Плюсы: возможна гос поддержка на малоконкурентых рынках (но это надо уточнять).  
ID004;Согласовано. Молодежь надо привлекать. Готовьте более развернутые предложения и обсудим их в ходе совещания по стратегии развития работы с персоналов. Срок - неделя. Форма - отдельный раздел по работе с молодежью в составе стратегии (аналитика, перспективный план действий)
ID004;Майк Келлер  Он активен, амбициозен. Хочет развиваться и продвигать компанию + чувствует, что его недооценивают. Надо его поощрить и поддержать. Прошу Вас нужным образом ему это представить
ID004;Максим, готов подготовить свое мнение. Но очень мало времени. Прошу перенести срок. Завтра до 14-00 я все подготовлю. спасибо.
ID004;-
ID004;Ок. Прошу дать темы для обсуждения  Элена, прошу Вас подключиться и помочь с фактурой для обсуждения. Поднимите вопросы кторые нам поможет решить министр. Это важно. Мы сами просили об этом. Жду инфо в 11-30
ID004;Максим, считаю надо выплачивать компенсацию. Суды нам не нужны и негатив в СМИ. Клиент дороже, тем более с маленьким ребенком. Няни должны быть экстро безопасными
ID004;-
ID004;Мирослава, добрый день. Спасибо за информацию. Нелли, прошу обсудить ситуацию и возможные варианты стратегии. До17.10.20 подготовьте предложения.
ID004;-
ID004;-
ID004;-
ID004;Нелли, прошу взять эту работу на себя. Даю Вам все полномочия дял этого.
ID004;-
ID004;-
ID004;-
ID004;Герасим, срыв данного заказа недопустим. Подчеркну- что решение данных вопросов - это ваша сфера ответственности. Жду от Вас программу действий по данному вопросу в течение часа - Ближайшие действий. Меры минимизации  даного риска на будущее - до 17.10.2020
ID004;-
ID004;Добрый день. Если эти затраты есть в бюджете или можно выделить сумму в этом году - я не возражаю. Но до этого необходимо обсудить в целом программу развития данного направления работы с персоналом в этом и след году по всем нашим офисам. Жду от вас доклад. Обсудим 18.10.20. Выставляйте в календарь встречу и материалы - за 2 дня. Спасибо
ID004;Подготовьте пресс-релиз с положительными аспектами роботизации, обсудим. Жду ваших предложений и программу положительных публикаций в СМИ о нашей компании. Срок - 2 дня.
ID004;-
ID004;-
ID004;-
ID004;Добрый день. Слишком мало информации дял принятия решения. Запланируйте встреч у со мной 14.10.20. Подготовьте аналитику по вопросу с разными вариантами сокращения затрат (способами)
ID004;-
ID004;-
ID004;-
ID004;Добрый день. Спасибо. Вопрос важный. Он будет в одной из тем нашей новой стратегии. Мне нужно более подробное исследование по узнаваемости бренда и несколько вариантов будем прорабатывать. Инфо о бюджете ребрендинга и точных сроках. Готовьте инфо. Обсудим 16.10.20
ID004;-
ID004;Елизавета. вопрос в работу взял. Отвечу сегодня, но поздно - в 22-00
ID004;-
ID004;Добрый день. Мирослава,  прошу Вас принять решение.
ID004;Огромное спасибо, Роберт. Надеюсь оправдать доверие всех сотрудников и руководителей Cobots. Готов представить свое видение развития компании в ближайшее время. 
ID004;Отложим обучение на вторую половину года. Это важно но не срочно
ID004;-
ID004;-
ID006;Никита, добрый день! спасибо за добрые пожелания!
ID006;-
ID006;Элена спасибо за обратную связь. приношу свои извинения за некорректное поведение сотрудника. Я обязательно назначу встречу с Майком и проговорю с ним лично. По вашему предложению - берем в работу. сначала делаем тестовую версию. ответственный Нил Пауэлл. После фин. обоснований решим запускаться ли в промо.
ID006;Нелли. добрый день. наш ответ Да. мы принимаем участие. Прошу передать ответ Андрею. Насчет спонсорства беру день на ответ. завтра вернусь с информацией - заходим ли мы в спонсорство илои нет. Попроси у Андрея информацию по пакетам о спонсорах. перешли мне сегодня. Скорее всего. если предложения интересные. будем заходить как генеральный спонсор.
ID006;-
ID006;Елизавета. добрый день. отлично что предыдущая стратегия рассматривает Австралию. Перспективно на мой взгляд. Мое видение: Уэльс конечно интересен с точки зрения более развитой инфраструктуры. уже выстроенной логистике и ментальной подготовке населения - уже есть определенная доля использования коботов. также количество населения и высокая рождаемость - определенный плюс. при этом есть определенные моменты - прибрежная зона. по недавним исследованиям часть этой зоны может быть затоплена и при уже существующей сильной конкуренции сложно будет выстоять бизнесу. также самая дорогая аренда - дополнительные расходы при уже повышающемся тренде роста себестоимости.  Виктория - самая низкая аренда что плюс. стабильная ситуация в части прироста населения - тоже плюс. риск - тот же - прибрежные зоны. а также самый низкий доход населения - для бизнеса это определенная проблема особенно на этапе входа на рынок - вероятность что будут невысокие выручки и прибыли. Я бы рассмотрела Квинслед - слабая конкуренция. удалено от побережья океана. самый высокий доход населения.средняя цена аренды. Почти полностью отсутствует конкуренция. вспышки вируса конечно создают определенные сложности - но- это дает возможность развивать бизнес связанный с медициной. а также в случае необходимости можно будет использовать рабочую силу как урм из районов Южного Уэльса. По возможным трудностям связанным с недостоточной инфраструктурой и логистикой - на начальном этапе важно заручиться поддержкой местного управления - в любом случае возможен приток населения именно сюда и надо к этому быть готовыми.
ID006;Нелли спасибо за информацию. Потенциал трудовых ресурсов важен сейчас в эпохуконкуренции на рынке ит технологий и старения трудовых ресуцрсов. Напиши пожалуйства какие именно специалист и аналитики тебе нужны? финансы. ит. маркетинг или другое направление? жду ответ.
ID006;Для окончательного решения мне нужна информация от подразделения финансов с учетом прогнозов с использованием математической модели. попрошу Марину рассчитать экономическую эффективность. Но в любом случае - предварительное мое мнение - идти в эту историю. Сектор развлечений самый активно развивающийся и потенциальный. Также у меня есть  определенные мысли по снижению расходов. поэтому думаю что в эту историю мы будем заходить.
